projectid	sampleid	lane	r1	r2
RU40979	SQ6079	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6079_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6079_L001_R2_001.fastq.gz
RU40979	SQ6079	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6079_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6079_L002_R2_001.fastq.gz
RU40979	SQ6079	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6079_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6079_L003_R2_001.fastq.gz
RU40979	SQ6079	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6079_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6079_L004_R2_001.fastq.gz
RU40979	SQ6080	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6080_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6080_L001_R2_001.fastq.gz
RU40979	SQ6080	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6080_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6080_L002_R2_001.fastq.gz
RU40979	SQ6080	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6080_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6080_L003_R2_001.fastq.gz
RU40979	SQ6080	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6080_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6080_L004_R2_001.fastq.gz
RU40979	SQ6081	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6081_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6081_L001_R2_001.fastq.gz
RU40979	SQ6081	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6081_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6081_L002_R2_001.fastq.gz
RU40979	SQ6081	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6081_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6081_L003_R2_001.fastq.gz
RU40979	SQ6081	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6081_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6081_L004_R2_001.fastq.gz
RU40979	SQ6082	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6082_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6082_L001_R2_001.fastq.gz
RU40979	SQ6082	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6082_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6082_L002_R2_001.fastq.gz
RU40979	SQ6082	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6082_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6082_L003_R2_001.fastq.gz
RU40979	SQ6082	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6082_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6082_L004_R2_001.fastq.gz
RU40979	SQ6083	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6083_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6083_L001_R2_001.fastq.gz
RU40979	SQ6083	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6083_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6083_L002_R2_001.fastq.gz
RU40979	SQ6083	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6083_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6083_L003_R2_001.fastq.gz
RU40979	SQ6083	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6083_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6083_L004_R2_001.fastq.gz
